fish_id,condition_id,trial_number,Fish median response / baseline,Contributing rows
20230228_08,control,76,1.0594520605236104,1
20230228_08,control,77,1.068399065866189,1
20230228_08,control,78,1.0407067532458802,1
20230228_08,control,79,0.9397585830347819,1
20230228_08,control,80,1.0282312049941777,1
20230228_08,control,81,0.9374447847314341,1
20230228_08,control,82,0.9919959461759688,1
20230228_08,control,83,1.02032950579443,1
20230228_08,control,84,1.0234141817939024,1
20230228_08,control,85,1.0445922079993706,1
20230228_08,control,86,1.0438385543344093,1
20230228_08,control,87,1.0434396204605287,1
20230228_08,control,88,1.1038305213397055,1
20230228_08,control,89,0.9627088943449882,1
20230228_08,control,90,1.0364010919145252,1
20230228_08,control,91,1.055187741696452,1
20230228_08,control,92,0.9456425688477772,1
20230228_08,control,93,1.0148533227477998,1
20230228_08,control,94,0.9444406422210422,1
20230228_11,control,5,1.0538201754663863,1
20230228_11,control,6,0.9718556615134545,1
20230228_11,control,7,1.0143195875213191,1
20230228_11,control,8,1.010691202071726,1
20230228_11,control,9,1.0481446283740623,1
20230228_11,control,10,1.0647320586937776,1
20230228_11,control,11,1.1460017023390694,1
20230228_11,control,12,1.0178382289309025,1
20230228_11,control,13,1.02040981350764,1
20230228_11,control,14,0.9037842479837901,1
20230228_11,control,15,1.0807086850568017,1
20230228_11,control,16,1.007951001721834,1
20230228_11,control,17,1.2868050838945013,1
20230228_11,control,18,0.9789928095759257,1
20230228_11,control,19,0.9936400955396877,1
20230228_11,control,20,1.0172671178160444,1
20230228_11,control,21,0.945946971032127,1
20230228_11,control,22,1.0083543822433727,1
20230228_11,control,23,1.1009329883450136,1
20230228_11,control,24,0.8664389448101174,1
20230228_11,control,25,0.8558550193377771,1
20230228_11,control,26,1.0253306320981397,1
20230228_11,control,27,1.0076056846594323,1
20230228_11,control,28,1.012980846648074,1
20230228_11,control,29,0.9767151948182665,1
20230228_11,control,30,1.0416138442063303,1
20230228_11,control,31,0.9372583604495404,1
20230228_11,control,32,0.9664399546903271,1
20230228_11,control,33,1.1817300679886702,1
20230228_11,control,34,0.9953257107685721,1
20230228_11,control,35,1.0162178998268103,1
20230228_11,control,36,0.8896859833301061,1
20230228_11,control,37,1.0104185832091088,1
20230228_11,control,38,0.91934539133528,1
20230228_11,control,39,0.9935445640953057,1
20230228_11,control,40,0.9888530251314966,1
20230228_11,control,41,0.9982364323015284,1
20230228_11,control,42,1.028140706024943,1
20230228_11,control,43,1.0466143843774371,1
20230228_11,control,44,1.0892946373171442,1
20230228_11,control,45,1.0597536887537988,1
20230228_11,control,46,1.0239317559673822,1
20230228_11,control,47,1.0379693432140245,1
20230228_11,control,48,1.0033203942009492,1
20230228_11,control,49,0.9730475190912853,1
20230228_11,control,50,0.974589455339786,1
20230228_11,control,51,1.0527303839757929,1
20230228_11,control,52,0.973103704285851,1
20230228_11,control,53,1.0484772907360915,1
20230228_11,control,54,1.0157646232918274,1
20230228_11,control,55,0.9965452496882801,1
20230228_11,control,56,1.0089260187141675,1
20230228_11,control,57,1.0443881607468533,1
20230228_11,control,58,1.0658630437006305,1
20230228_11,control,59,1.0269578454672903,1
20230228_11,control,60,1.0009025009705992,1
20230228_11,control,61,0.9777679664041189,1
20230228_11,control,62,0.9752353087319107,1
20230228_11,control,63,0.9717984295708103,1
20230228_11,control,64,0.9888643332440231,1
20230228_11,control,65,1.0297689702439987,1
20230228_11,control,66,0.9905674979742675,1
20230228_11,control,67,1.0221463103718766,1
20230228_11,control,68,1.0256034907930678,1
20230228_11,control,69,1.0158382833699156,1
20230228_11,control,70,0.9913958651507628,1
20230228_11,control,71,0.9901487845172915,1
20230228_11,control,72,0.9839744300186398,1
20230228_11,control,73,1.0075497794748152,1
20230228_11,control,74,0.9807321907981611,1
20230228_11,control,75,1.020947980322076,1
20230228_11,control,76,1.0536761011151332,1
20230228_11,control,77,1.0229481220143524,1
20230228_11,control,78,1.0173094603560222,1
20230228_11,control,79,0.9950760308791016,1
20230228_11,control,80,1.0741006863239457,1
20230228_11,control,81,1.0288286834392613,1
20230228_11,control,82,0.9844045202762859,1
20230228_11,control,83,1.0419623854129814,1
20230228_11,control,84,1.0282615303143585,1
20230228_11,control,85,0.962032481502975,1
20230228_11,control,86,1.0026630718264122,1
20230228_11,control,87,1.0627164393447792,1
20230228_11,control,88,1.0035266723559786,1
20230228_11,control,89,0.9746280386787591,1
20230228_11,control,90,1.0421560797762663,1
20230228_11,control,91,1.029518744044248,1
20230228_11,control,92,1.0206220374619206,1
20230228_11,control,93,0.9924722379284616,1
20230228_11,control,94,0.9727592497905946,1
20230301_01,control,5,1.0414625766655348,1
20230301_01,control,6,1.0091503676580513,1
20230301_01,control,7,0.9693378074598145,1
20230301_01,control,8,1.0339266284750883,1
20230301_01,control,9,0.981670588688028,1
20230301_01,control,10,0.9890358786617794,1
20230301_01,control,11,1.0646822851684257,1
20230301_01,control,12,1.1569215302864315,1
20230301_01,control,13,0.9076075996443017,1
20230301_01,control,14,0.9898945794242102,1
20230301_01,control,15,1.078742670054498,1
20230301_01,control,16,1.0667289085687213,1
20230301_01,control,17,0.9854180742222979,1
20230301_01,control,18,1.120059441875777,1
20230301_01,control,19,1.1520785917870873,1
20230301_01,control,20,0.9824500166675076,1
20230301_01,control,21,0.9593914719899939,1
20230301_01,control,22,1.038829613525028,1
20230301_01,control,23,1.0560821827416045,1
20230301_01,control,24,1.1229337188335944,1
20230301_01,control,25,0.9846150684117432,1
20230301_01,control,26,0.9203387497391838,1
20230301_01,control,27,0.9447751091596426,1
20230301_01,control,28,0.996636450167228,1
20230301_01,control,29,0.9765152388372017,1
20230301_01,control,30,1.0927030446134796,1
20230301_01,control,31,0.97208381544583,1
20230301_01,control,32,1.0385720523811657,1
20230301_01,control,33,0.9845119386649683,1
20230301_01,control,34,1.2716957907479551,1
20230301_01,control,35,0.9377069864178165,1
20230301_01,control,36,1.3332274500720291,1
20230301_01,control,37,1.046115555570968,1
20230301_01,control,38,0.9648246609300443,1
20230301_01,control,39,0.8602981983884629,1
20230301_01,control,40,0.6986398778226245,1
20230301_01,control,41,1.0203978908216795,1
20230301_01,control,42,0.9872241179141659,1
20230301_01,control,43,1.1215526854183673,1
20230301_01,control,44,0.8869805494452617,1
20230301_01,control,45,1.1252175152119142,1
20230301_01,control,46,0.9758219296077935,1
20230301_01,control,47,0.9767730056578298,1
20230301_01,control,48,1.0292121554952947,1
20230301_01,control,49,0.8827415691370266,1
20230301_01,control,50,1.0316560251407463,1
20230301_01,control,51,1.0651207926669395,1
20230301_01,control,52,1.0107145679019698,1
20230301_01,control,53,1.035694541410699,1
20230301_01,control,54,1.0367442799039257,1
20230301_01,control,55,1.1886630902912152,1
20230301_01,control,56,0.9958183671532221,1
20230301_01,control,57,0.9739894970987522,1
20230301_01,control,58,1.0448085505639184,1
20230301_01,control,59,1.186067282219651,1
